ral_number,colour_name,colour_family
RAL 7023,Concrete grey,Grey
RAL 7024,Graphite grey,Grey
RAL 7026,Granite grey,Grey
RAL 7030,Stone grey,Grey
RAL 7031,Blue grey,Grey
RAL 7032,Pebble grey,Grey
RAL 7033,Cement grey,Grey
RAL 7034,Yellow grey,Grey
RAL 7035,Light grey,Grey
RAL 7036,Platinum grey,Grey
RAL 7037,Dusty grey,Grey
RAL 7038,Agate grey,Grey
RAL 7039,Quartz grey,Grey
RAL 7040,Window grey,Grey
RAL 7042,Traffic grey A,Grey
RAL 7043,Traffic grey B,Grey
RAL 7044,Silk grey,Grey
RAL 7045,Telegrey 1,Grey
RAL 7046,Telegrey 2,Grey
RAL 7047,Telegrey 4,Grey
RAL 7048,Pearl mouse grey,Grey
RAL 8000,Green brown,Brown
RAL 8001,Ochre brown,Brown
RAL 8002,Signal brown,Brown
RAL 8003,Clay brown,Brown
RAL 8004,Copper brown,Brown
RAL 8007,Fawn brown,Brown
RAL 8008,Olive brown,Brown
RAL 8011,Nut brown,Brown
RAL 8012,Red brown,Brown
RAL 8014,Sepia brown,Brown
RAL 8015,Chestnut brown,Brown
RAL 8016,Mahogany brown,Brown
RAL 8017,Chocolate brown,Brown
RAL 8019,Grey brown,Brown
RAL 8022,Black brown,Brown
RAL 8023,Orange brown,Brown
RAL 8024,Beige brown,Brown
RAL 8025,Pale brown,Brown
RAL 8028,Terra brown,Brown
RAL 8029,Pearl copper,Brown
RAL 9001,Cream,White and black
RAL 9002,Grey white,White and black
RAL 9003,Signal white,White and black
RAL 9004,Signal black,White and black
RAL 9005,Jet black,White and black
RAL 9006,White aluminium,White and black
RAL 9007,Grey aluminium,White and black
RAL 9010,Pure white,White and black
RAL 9011,Graphite black,White and black
RAL 9012,Clean room white[11],White and black
RAL 9016,Traffic white,White and black
RAL 9017,Traffic black,White and black
RAL 9018,Papyrus white,White and black
RAL 9022,Pearl light grey,White and black
RAL 9023,Pearl dark grey,White and black
